STNNo,. A.D.,,FiFD,FuFD,WORK,TYPE,Name of reference
47759,801,PJ,,,,,-
47759,802,PJ,,,,,-
47759,803,PJ,,,,,-
47759,804,PJ,,,,,-
47759,805,PJ,,,,,-
47759,806,PJ,,,,,-
47759,807,PJ,,,,,-
47759,808,PJ,,,,,-
47759,809,PJ,,,,,-
47759,810,PJ,,,,,-
47759,811,PJ,,,,,-
47759,812,PJ,,401,1,2,NIHON-KOKI
47759,813,PJ,,,,,-
47759,814,PJ,,,,,-
47759,815,PJ,,415,1,2,NIHON-KOKI
47759,816,PJ,,,,,-
47759,817,PJ,,,,,-
47759,818,PJ,,,,,-
47759,819,PJ,,,,,-
47759,820,PJ,,,,,-
47759,821,PJ,,,,,-
47759,822,PJ,,,,,-
47759,823,PJ,,,,,-
47759,824,PJ,,,,,-
47759,825,PJ,,,,,-
47759,826,PJ,,,,,-
47759,827,PJ,,,,,-
47759,828,PJ,,,,,-
47759,829,PJ,,,,,-
47759,830,PJ,,,,,-
47759,831,PJ,,406,1,2,NIHON-KOKI
47759,832,PJ,,,,,-
47759,833,PJ,,,,,-
47759,834,PJ,,,,,-
47759,835,PJ,,,,,-
47759,836,PJ,,,,,-
47759,837,PJ,,,,,-
47759,838,PJ,,,,,-
47759,839,PJ,,,,,-
47759,840,PJ,,,,,-
47759,841,PJ,,,,,-
47759,842,PJ,,,,,-
47759,843,PJ,,,,,-
47759,844,PJ,,,,,-
47759,845,PJ,,,,,-
47759,846,PJ,,,,,-
47759,847,PJ,,,,,-
47759,848,PJ,,,,,-
47759,849,PJ,,,,,-
47759,850,PJ,,,,,-
47759,851,PJ,,418,1,2,MONTOKUTENNO-JITSUROKU
47759,852,PJ,,,,,-
47759,853,PJ,,414,1,2,MONTOKUTENNO-JITSUROKU
47759,854,PJ,,,,,-
47759,855,PJ,,,,,-
47759,856,PJ,,,,,-
47759,857,PJ,,,,,-
47759,858,PJ,,,,,-
47759,859,PJ,,,,,-
47759,860,PJ,,,,,-
47759,861,PJ,,,,,-
47759,862,PJ,,,,,-
47759,863,PJ,,,,,-
47759,864,PJ,,409,1,2,NIPPON-SANDAI-JITSUROKU
47759,865,PJ,,,,,-
47759,866,PJ,,416,1,2,NIPPON-SANDAI-JITSUROKU
47759,867,PJ,,,,,-
47759,868,PJ,,,,,-
47759,869,PJ,,405,5,2,KANKE-BUNSOU
47759,870,PJ,,,,,-
47759,871,PJ,,,,,-
47759,872,PJ,,,,,-
47759,873,PJ,,,,,-
47759,874,PJ,,,,,-
47759,875,PJ,,,,,-
47759,876,PJ,,,,,-
47759,877,PJ,,,,,-
47759,878,PJ,,,,,-
47759,879,PJ,,,,,-
47759,880,PJ,,,,,-
47759,881,PJ,,,,,-
47759,882,PJ,,,,,-
47759,883,PJ,,,,,-
47759,884,PJ,,,,,-
47759,885,PJ,,,,,-
47759,886,PJ,,,,,-
47759,887,PJ,,,,,-
47759,888,PJ,,,,,-
47759,889,PJ,,414,5,2,NIPPON-SANDAI-JITSUROKU
47759,890,PJ,,,,,-
47759,891,PJ,,419,5,4,NIHONKIRYAKU
47759,892,PJ,,417,5,3,FUSHIMIIN-GOKIROKKU
47759,893,PJ,,,,,-
47759,894,PJ,,416,5,2,KANKE-BUNSOU
47759,895,PJ,,414,5,4,NIHONKIRYAKU
47759,896,PJ,,413,5,4,NIPPON-SANDAI-JITSUROKU
47759,897,PJ,,,,,-
47759,898,PJ,,,,,-
47759,899,PJ,,,,,-
47759,900,PJ,,,,,-
47759,901,PJ,,,,,-
47759,902,PJ,,412,5,8,EST-from-WF(NIHONGI-RYAKU)
47759,903,PJ,,,,,-
47759,904,PJ,,,,,-
47759,905,PJ,,,,,-
47759,906,PJ,,,,,-
47759,907,PJ,,,,,-
47759,908,PJ,,407,5,8,EST-from-WF(KIMITADA-SHU)
47759,909,PJ,,,,,-
47759,910,PJ,,,,,-
47759,911,PJ,,,,,-
47759,912,PJ,,404,1,2,SHINGISHIKI
47759,913,PJ,,420,5,2,SHUI-WAKASHU
47759,914,PJ,,,,,-
47759,915,PJ,,,,,-
47759,916,PJ,,,,,-
47759,917,PJ,,405,1,2,KINHISHO
